Rank,Name,Matches,Points,Wins,Losses,Buchholz,refined Buchholz
1,White Eel,2,2,2,0,1.0,1.247
2,Erich,3,2,2,1,0.8571,1.280
3,BigVik,3,2,2,1,0.8571,1.230
4,Flipper,2,2,2,0,0.8333,1.344
5,Katerkönig,2,2,2,0,0.8333,1.319
6,Hodi,2,2,2,0,0.8333,1.226
7,Nordi,2,1,1,1,1.5,0.997
8,Arktos&nbsp;d.f.&nbsp;Schneemann,2,1,1,1,1.333,1.094
9,Borsten,2,1,1,1,1.333,1.069
10,Dr.&nbsp;Dörg,3,1,1,2,1.25,1.092
11,Chris-P-Bacon,3,1,1,2,1.25,1.082
12,Dr.&nbsp;R.&nbsp;Andy,2,1,1,1,1.2,1.155
,Sir&nbsp;Schlegel,2,1,1,1,1.2,1.155
14,Crazy&nbsp;Legs,3,1,1,2,1.125,1.193
15,Milos,2,1,1,1,1.0,1.181
16,Mk,2,0,0,2,1.5,1.043
17,Borst,3,0,0,3,1.5,1.011
18,Mr.&nbsp;Sunny,2,0,0,2,1.333,1.122
